Column 1,cleaned,count
AAA meetings this Fall:,AAA MEETINGS THIS FALL:,1
AATA Online:,AATA ONLINE:,1
AD 1930:,AD 1930:,1
AD 43:,AD 43:,1
ADIAS Newsletter:,ADIAS NEWSLETTER:,3
AEC Egyptology  Newsletter’s previous Edito referred by British association:,AEC EGYPTOLOGY NEWSLETTER’S PREVIOUS EDITO REFERRED BY BRITISH ASSOCIATION:,1
AERA Field Manual Series 1:,AERA FIELD MANUAL SERIES 1:,1
AERAGRAM  1996 1:,AERAGRAM 1996 1:,2
AERAGRAM  1997 1:,AERAGRAM 1997 1:,2
AERAGRAM  1998 2:,AERAGRAM 1998 2:,4
AERAGRAM  1999 3:,AERAGRAM 1999 3:,2
AERAGRAM  2000 3:,AERAGRAM 2000 3:,2
AERAGRAM  2000 4:,AERAGRAM 2000 4:,4
AERAGRAM  2001 5:,AERAGRAM 2001 5:,4
AERAGRAM 2002 6:,AERAGRAM 2002 6:,4
AERAGRAM 2003 7:,AERAGRAM 2003 7:,2
AERAGRAM 2004 7:,AERAGRAM 2004 7:,2
AERAGRAM 2006 8:,AERAGRAM 2006 8:,2
AERAGRAM 2007 8:,AERAGRAM 2007 8:,2
AERAGRAM 2008 9:,AERAGRAM 2008 9:,4
AERA Origins:,AERA ORIGINS:,2
AGER VELEIAS:,AGER VELEIAS:,3
AIA Award:,AIA AWARD:,1
AIA Bulletin:,AIA BULLETIN:,3
AIA Placement Service:,AIA PLACEMENT SERVICE:,1
AIA President Elizabeth Bartman applauded the grant:,AIA PRESIDENT ELIZABETH BARTMAN APPLAUDED THE GRANT:,1
AJA 114:,AJA 114:,1
AJA articles on threats to cultural heritage:,AJA ARTICLES ON THREATS TO CULTURAL HERITAGE:,1
AJA News:,AJA NEWS:,4
AMAR project by the  Schoenberg Center for Electronic Text and Image at the University of  Pennsylvania:,AMAR PROJECT BY THE SCHOENBERG CENTER FOR ELECTRONIC TEXT AND IMAGE AT THE UNIVERSITY OF PENNSYLVANIA:,1
AMHEIDA I:,AMHEIDA I:,1
AMIZADE E PATRONATO:,AMIZADE E PATRONATO:,1
ANALYTICAL INVESTIGATIONS IN OSTIA:,ANALYTICAL INVESTIGATIONS IN OSTIA:,1
ANAXIMANDRE :,ANAXIMANDRE:,1
ANCODS Colloquium:,ANCODS COLLOQUIUM:,3
AND RIGHTEOUSNESS:,AND RIGHTEOUSNESS:,1
ANKH :,ANKH:,6
ANTICO          ORIENTE:,ANTICO ORIENTE:,1
APA Member:,APA MEMBER:,1
APA Placement Service assists members looking for positions and academic institutions with positions to fill through:,APA PLACEMENT SERVICE ASSISTS MEMBERS LOOKING FOR POSITIONS AND ACADEMIC INSTITUTIONS WITH POSITIONS TO FILL THROUGH:,1
APDCA :,APDCA:,2
APPENDIX 10:,APPENDIX 10:,1
APPENDIX 11:,APPENDIX 11:,1
APPENDIX 12:,APPENDIX 12:,1
